section,section_id,section_sis_id,submitted,attempt,648434: I am confident I can succeed in this module.,1.0,648435: I feel connected with other students and teaching staff on this module.,1.0,"648436: I believe I am contributing to and engaging effectively with the module (for instance, participating in discussions and other learning activities)",1.0,648437: At this stage in the module I understand how my learning will be assessed on thismodule,1.0,648438: What one thing can we do to better to improve your experience on this module?,0.0,648445: How often did you attend COMP313 with live polling quizzes? And how often did you attend other modules without live polling quizzes?,1.0,648446: Did the live polling quizzes help you better understand the lecture material?,1.0,648447: Did the live polling quizzes help you stay engaged during the lecture?,1.0,648448: Did you feel more motivated to participate in in-person lectures when live polling quizzes were used?,1.0,648449: Did the live polling quizzes encourage you to study more outside of class?,1.0,648450: Were the instructions for using the live polling software (itemtool.com) clear and easy to follow?,1.0,648451: Did the live polling quizzes help you identify areas where you needed to focus your study efforts?,1.0,648452: Do you believe that live polling quizzes should be used more frequently in lectures?,1.0,648453: What suggestions do you have for improving the use of live polling quizzes in lectures?,1.0,n correct,n incorrect,score
202223-COMP313 - Formal Methods,60432,"",2023-05-31 22:59:59 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,12,0.0
202223-COMP313 - Formal Methods,60432,"",2023-05-31 22:59:59 UTC,1,Agree,0.0,Neither Agree Nor Disagree,0.0,Neither Agree Nor Disagree,0.0,Agree,0.0,"",0.0,very often; and very often.,1.0,Yes,1.0,Yes,1.0,Yes,1.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,6,8,4.0
202223-COMP313 - Formal Methods,60432,"",2023-05-31 22:59:59 UTC,1,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,2,12,0.0
202223-COMP313 - Formal Methods,60432,"",2023-03-30 09:05:51 UTC,1,Neither Agree Nor Disagree,0.0,Neither Agree Nor Disagree,0.0,Neither Agree Nor Disagree,0.0,Agree,0.0,"",0.0,very often; and not often.,0.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Not sure,0.0,"",0.0,8,6,6.0
202223-COMP313 - Formal Methods,60432,"",2023-03-23 14:55:12 UTC,1,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,no,0.0,very often; and very often.,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,the lecturer shouldn't give the wrong link sometime.,0.0,13,1,11.0
202223-COMP313 - Formal Methods,60432,"",2023-03-22 12:41:24 UTC,1,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,"",0.0,very often; and very often.,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,"",0.0,14,0,12.0
202223-COMP313 - Formal Methods,60432,"",2023-03-21 17:16:39 UTC,1,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,"give more examples, from easy to hard",0.0,very often; and not often.,0.0,Yes,1.0,Yes,1.0,Not sure,0.0,Not sure,0.0,Yes,1.0,Yes,1.0,Yes,1.0,no,0.0,7,7,5.0
202223-COMP313 - Formal Methods,60432,"",2023-03-21 12:09:52 UTC,1,Neither Agree Nor Disagree,0.0,Strongly Agree,1.0,Neither Agree Nor Disagree,0.0,Agree,0.0,"",0.0,very often; and not often.,0.0,Yes,1.0,Yes,1.0,Not sure,0.0,Not sure,0.0,Not sure,0.0,Yes,1.0,Yes,1.0,Good enough,0.0,7,7,5.0
202223-COMP313 - Formal Methods,60432,"",2023-03-21 12:09:04 UTC,1,Neither Agree Nor Disagree,0.0,Agree,0.0,Neither Agree Nor Disagree,0.0,Agree,0.0,"",0.0,very often; and very often.,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Not sure,0.0,Yes,1.0,Yes,1.0,Not sure,0.0,"",0.0,8,6,6.0
202223-COMP313 - Formal Methods,60432,"",2023-03-15 15:52:21 UTC,1,Agree,0.0,Strongly Agree,1.0,Neither Agree Nor Disagree,0.0,Agree,0.0,"",0.0,not often; and not often.,0.0,Yes,1.0,Not sure,0.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Not sure,0.0,"",0.0,8,6,6.0
202223-COMP313 - Formal Methods,60432,"",2023-03-15 11:15:06 UTC,1,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,"",0.0,very often; and very often.,1.0,Yes,1.0,Yes,1.0,Yes,1.0,No,0.0,Yes,1.0,Yes,1.0,Not sure,0.0,"",0.0,8,6,6.0
202223-COMP313 - Formal Methods,60432,"",2023-03-15 11:04:59 UTC,1,Disagree,0.0,Disagree,0.0,Neither Agree Nor Disagree,0.0,Agree,0.0,"",0.0,not often; and not often.,0.0,Not sure,0.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,"",0.0,8,6,6.0
202223-COMP313 - Formal Methods,60432,"",2023-03-15 11:04:44 UTC,1,Neither Agree Nor Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,"",0.0,very often; and not often.,0.0,Yes,1.0,"",0.0,Yes,1.0,Not sure,0.0,Yes,1.0,Yes,1.0,Yes,1.0,"",0.0,8,6,6.0
202223-COMP313 - Formal Methods,60432,"",2023-03-15 11:04:16 UTC,1,Neither Agree Nor Disagree,0.0,Agree,0.0,Agree,0.0,Neither Agree Nor Disagree,0.0,"",0.0,very often; and very often.,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Not sure,0.0,"",0.0,9,5,7.0
202223-COMP313 - Formal Methods,60432,"",2023-03-15 11:03:51 UTC,1,Agree,0.0,Agree,0.0,Neither Agree Nor Disagree,0.0,Strongly Agree,1.0,It is well prepare class,0.0,very often; and not often.,0.0,Yes,1.0,Yes,1.0,Yes,1.0,Not sure,0.0,Yes,1.0,Yes,1.0,Yes,1.0,Nothing,0.0,9,5,7.0
202223-COMP313 - Formal Methods,60432,"",2023-03-15 11:03:21 UTC,1,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,"",0.0,very often; and very often.,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,"",0.0,10,4,8.0
202223-COMP313 - Formal Methods,60432,"",2023-03-15 11:01:25 UTC,1,Agree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,"",0.0,very often; and not often.,0.0,Yes,1.0,Yes,1.0,Not sure,0.0,Not sure,0.0,Yes,1.0,Yes,1.0,Yes,1.0,"",0.0,8,6,6.0
202223-COMP313 - Formal Methods,60432,"",2023-03-15 11:00:49 UTC,1,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,I have no idea.,0.0,very often; and very often.,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,I have no idea.,0.0,10,4,8.0
202223-COMP313 - Formal Methods,60432,"",2023-03-15 10:59:17 UTC,1,Neither Agree Nor Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,"",0.0,very often; and very often.,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,"",0.0,10,4,8.0
202223-COMP313 - Formal Methods,60432,"",2023-03-15 09:46:35 UTC,1,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Make the test easy,0.0,very often; and very often.,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,no,0.0,10,4,8.0
202223-COMP313 - Formal Methods,60432,"",2023-03-15 09:37:46 UTC,1,Neither Agree Nor Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,So far so good,0.0,very often; and very often.,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,"Few more would be good, like, one question during the lecture, and few more as non-assessed homework ",0.0,10,4,8.0
202223-COMP313 - Formal Methods,60432,"",2023-03-15 01:13:10 UTC,1,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Cloud give more exercises and interesting examples.,0.0,very often; and not often.,0.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,no,0.0,9,5,7.0
202223-COMP313 - Formal Methods,60432,"",2023-03-15 00:23:33 UTC,1,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,"",0.0,very often; and very often.,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Not sure,0.0,"",0.0,9,5,7.0
202223-COMP313 - Formal Methods,60432,"",2023-03-10 19:42:10 UTC,1,Agree,0.0,Neither Agree Nor Disagree,0.0,Agree,0.0,Agree,0.0,"",0.0,not often; and very often.,0.0,Yes,1.0,Not sure,0.0,Not sure,0.0,Not sure,0.0,Yes,1.0,Yes,1.0,Yes,1.0,"",0.0,6,8,4.0
202223-COMP313 - Formal Methods,60432,"",2023-03-09 21:49:21 UTC,1,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Maybe can explain the weekly exercises like tutorials to help understand the knowledge points :D,0.0,very often; and very often.,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Not sure,0.0,Not sure,0.0,Yes,1.0,Yes,1.0,Sometimes the link will not be found,0.0,10,4,8.0
202223-COMP313 - Formal Methods,60432,"",2023-03-09 12:19:01 UTC,1,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,"",0.0,very often; and very often.,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,"",0.0,10,4,8.0
202223-COMP313 - Formal Methods,60432,"",2023-03-09 12:03:47 UTC,1,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,"I think our teacher Xingyu is excellent in terms of delivering contents, he is a very good teacher and the course materials are not too difficult nor too hard.",0.0,very often; and not often.,0.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,"Xingyu can add more questions of this type in lectures.

 ",0.0,13,1,11.0
202223-COMP313 - Formal Methods,60432,"",2023-03-09 12:02:40 UTC,1,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,"",0.0,very often; and not often.,0.0,Not sure,0.0,Not sure,0.0,Not sure,0.0,Not sure,0.0,Not sure,0.0,Not sure,0.0,Not sure,0.0,"",0.0,2,12,0.0
202223-COMP313 - Formal Methods,60432,"",2023-03-09 12:01:50 UTC,1,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,"",0.0,very often; and very often.,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,"",0.0,14,0,12.0
202223-COMP313 - Formal Methods,60432,"",2023-03-09 11:30:19 UTC,1,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Agree,0.0,"",0.0,very often; and very often.,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,No,0.0,"",0.0,10,4,8.0
